Kms_Driven,Present_Price,Fuel_Type,Seller_Type,Transmission,Age,Selling_Price
27000,5.59,Petrol,Dealer,Manual,6,3.35
43000,9.54,Diesel,Dealer,Manual,7,4.75
6900,9.85,Petrol,Dealer,Manual,3,7.25
5200,4.15,Petrol,Dealer,Manual,9,2.85
42450,6.87,Diesel,Dealer,Manual,6,4.6
2071,9.83,Diesel,Dealer,Manual,2,9.25
18796,8.12,Petrol,Dealer,Manual,5,6.75
33429,8.61,Diesel,Dealer,Manual,5,6.5
20273,8.89,Diesel,Dealer,Manual,4,8.75
42367,8.92,Diesel,Dealer,Manual,5,7.45
2135,3.6,Petrol,Dealer,Manual,3,2.85
51000,10.38,Diesel,Dealer,Manual,5,6.85
15000,9.94,Petrol,Dealer,Automatic,5,7.5
26000,7.71,Petrol,Dealer,Manual,5,6.1
77427,7.21,Petrol,Dealer,Manual,11,2.25
43000,10.79,Diesel,Dealer,Manual,4,7.75
41678,10.79,Diesel,Dealer,Manual,5,7.25
43000,10.79,Diesel,Dealer,Manual,4,7.75
35500,5.09,CNG,Dealer,Manual,5,3.25
41442,7.98,Petrol,Dealer,Manual,10,2.65
25000,3.95,Petrol,Dealer,Manual,4,2.85
2400,5.71,Petrol,Dealer,Manual,3,4.9
50000,8.01,Petrol,Dealer,Automatic,9,4.4
45280,3.46,Petrol,Dealer,Manual,6,2.5
56879,4.41,Petrol,Dealer,Manual,7,2.9
20000,4.99,Petrol,Dealer,Manual,9,3.0
55138,5.87,Petrol,Dealer,Manual,7,4.15
16200,6.49,Petrol,Individual,Manual,3,6.0
44542,3.95,Petrol,Dealer,Manual,10,1.95
45000,10.38,Diesel,Dealer,Manual,5,7.45
51439,5.98,Diesel,Dealer,Manual,8,3.1
54200,4.89,Petrol,Dealer,Manual,9,2.35
39000,7.49,Diesel,Dealer,Manual,6,4.95
45000,9.95,Diesel,Dealer,Manual,6,6.0
45000,8.06,Diesel,Dealer,Manual,6,5.5
49998,7.74,CNG,Dealer,Manual,9,2.95
48767,7.2,Petrol,Dealer,Manual,5,4.65
127000,2.28,Petrol,Individual,Manual,17,0.35
10079,3.76,Petrol,Dealer,Manual,4,3.0
62000,7.98,Petrol,Dealer,Manual,17,2.25
24524,7.87,Petrol,Dealer,Automatic,4,5.85
46706,3.98,Petrol,Dealer,Manual,6,2.55
58000,7.15,Petrol,Dealer,Manual,12,1.95
45780,8.06,Diesel,Dealer,Manual,6,5.5
50000,2.69,Petrol,Dealer,Manual,8,1.25
15000,12.04,Petrol,Dealer,Automatic,6,7.5
64532,4.89,Petrol,Dealer,Manual,7,2.65
65000,4.15,Petrol,Dealer,Manual,14,1.05
25870,7.71,Petrol,Dealer,Manual,5,5.8
37000,9.29,Petrol,Dealer,Automatic,3,7.75
104707,30.61,Diesel,Dealer,Automatic,8,14.9
40000,30.61,Diesel,Dealer,Automatic,5,23.0
15000,19.77,Diesel,Dealer,Automatic,3,18.0
135000,30.61,Diesel,Individual,Automatic,7,16.0
90000,10.21,Petrol,Individual,Manual,15,2.75
70000,15.04,Petrol,Dealer,Automatic,11,3.6
40534,7.27,Petrol,Dealer,Manual,5,4.5
50000,18.54,Petrol,Dealer,Manual,10,4.75
39485,6.8,Petrol,Dealer,Manual,6,4.1
41000,35.96,Diesel,Dealer,Automatic,6,19.99
40001,18.61,Petrol,Dealer,Manual,7,6.95
40588,7.7,Petrol,Dealer,Manual,5,4.5
78000,35.96,Diesel,Dealer,Automatic,6,18.75
47000,35.96,Diesel,Dealer,Automatic,5,23.5
6000,36.23,Diesel,Dealer,Automatic,3,33.0
45000,6.95,Diesel,Dealer,Manual,6,4.75
11000,23.15,Petrol,Dealer,Automatic,3,19.75
59000,20.45,Diesel,Dealer,Manual,10,9.25
88000,13.74,Petrol,Dealer,Manual,9,4.35
12000,20.91,Petrol,Dealer,Manual,4,14.25
71000,6.76,Diesel,Dealer,Manual,6,3.95
45000,12.48,Diesel,Dealer,Manual,9,4.5
56001,18.61,Petrol,Dealer,Manual,7,7.45
43000,5.71,Petrol,Dealer,Manual,9,2.65
83000,8.93,Diesel,Dealer,Manual,6,4.9
36000,6.8,Petrol,Dealer,Manual,5,3.95
72000,14.68,Petrol,Dealer,Manual,7,5.5
135154,12.35,Petrol,Dealer,Automatic,16,1.5
80000,22.83,Petrol,Dealer,Automatic,10,5.25
89000,30.61,Diesel,Dealer,Automatic,8,14.5
23000,14.89,Diesel,Dealer,Manual,4,14.73
40000,7.85,Diesel,Dealer,Manual,5,4.75
15000,25.39,Diesel,Dealer,Automatic,3,23.0
38000,13.46,Diesel,Dealer,Manual,5,12.5
197176,13.46,Diesel,Dealer,Manual,15,3.49
142000,23.73,Petrol,Individual,Automatic,14,2.5
78000,92.6,Diesel,Dealer,Manual,10,35.0
56000,13.74,Petrol,Dealer,Manual,8,5.9
47000,6.05,Petrol,Dealer,Manual,7,3.45
40000,6.76,Petrol,Dealer,Manual,6,4.75
62000,18.61,Petrol,Dealer,Manual,11,3.8
58242,16.09,Diesel,Dealer,Manual,6,11.25
75000,13.7,Petrol,Dealer,Manual,15,3.51
40000,30.61,Diesel,Dealer,Automatic,5,23.0
89000,22.78,Petrol,Dealer,Automatic,12,4.0
72000,18.61,Petrol,Dealer,Manual,8,5.85
29000,25.39,Diesel,Dealer,Automatic,4,20.75
8700,18.64,Petrol,Dealer,Manual,3,17.0
45000,18.61,Petrol,Dealer,Manual,7,7.05
50024,20.45,Diesel,Dealer,Manual,10,9.65
3000,1.9,Petrol,Individual,Manual,4,1.75
1400,1.82,Petrol,Individual,Manual,3,1.7
4000,1.78,Petrol,Individual,Manual,3,1.65
1200,1.6,Petrol,Individual,Manual,3,1.45
4100,1.47,Petrol,Individual,Manual,3,1.35
21700,2.37,Petrol,Individual,Manual,5,1.35
16500,3.45,Petrol,Individual,Manual,6,1.35
15000,1.5,Petrol,Individual,Manual,7,1.25
18000,1.5,Petrol,Individual,Manual,4,1.2
11000,1.47,Petrol,Individual,Manual,3,1.2
6000,1.78,Petrol,Individual,Manual,4,1.2
8700,1.5,Petrol,Individual,Manual,4,1.15
7000,2.4,Petrol,Individual,Manual,6,1.15
35000,1.4,Petrol,Individual,Manual,4,1.15
17000,1.47,Petrol,Individual,Manual,5,1.15
17500,1.47,Petrol,Individual,Manual,5,1.11
33000,1.47,Petrol,Individual,Manual,7,1.1
14000,1.9,Petrol,Individual,Manual,5,1.1
26000,1.47,Petrol,Individual,Manual,5,1.1
5400,1.9,Petrol,Individual,Manual,7,1.05
5700,1.26,Petrol,Individual,Manual,4,1.05
6900,1.5,Petrol,Individual,Manual,9,1.05
6000,1.17,Petrol,Individual,Manual,4,1.05
46500,1.47,Petrol,Individual,Manual,7,1.0
11500,1.75,Petrol,Individual,Manual,8,0.95
40000,1.75,Petrol,Individual,Manual,11,0.9
1300,0.95,Petrol,Individual,Manual,3,0.9
7000,0.8,Petrol,Individual,Manual,4,0.75
3000,0.87,Petrol,Individual,Manual,3,0.8
5000,0.84,Petrol,Individual,Manual,3,0.78
11000,0.87,Petrol,Individual,Manual,3,0.75
18000,0.82,Petrol,Individual,Manual,5,0.75
3500,0.95,Petrol,Individual,Manual,3,0.75
500,0.95,Petrol,Individual,Manual,4,0.72
11800,0.81,Petrol,Individual,Manual,3,0.65
5000,0.74,Petrol,Individual,Manual,5,0.65
23500,1.2,Petrol,Individual,Manual,6,0.65
16000,0.787,Petrol,Individual,Manual,7,0.65
15000,0.87,Petrol,Individual,Manual,4,0.6
16600,0.95,Petrol,Individual,Manual,5,0.6
32000,1.2,Petrol,Individual,Manual,7,0.6
20000,0.8,Petrol,Individual,Manual,4,0.6
29000,0.84,Petrol,Individual,Manual,5,0.6
25000,0.84,Petrol,Individual,Manual,4,0.6
25000,0.99,Petrol,Individual,Manual,6,0.6
19000,0.81,Petrol,Individual,Manual,8,0.6
15000,0.787,Petrol,Individual,Manual,6,0.55
58000,0.84,Petrol,Individual,Manual,5,0.55
